"id";"naam";"straat";"huisnummer";"postcode";"district";"begindatum";"toestellen";"financiering";"opmerking";"x_coord";"y_coord";"point_lng";"point_lat"
"AN/05/19";"Jonker van der Nootplein";"Jonker van der Nootstraat";"over 17";"2050";"ANTWERPEN";"2009-02-01T00:00:00";"";"Lokaal";"";"150990.128";"212007.96400000001";"4.3829349800000728";"51.218021586000077"
"BE/60/19";"De Veldekens";"Hoogveld";"8";"2600";"BERCHEM";"2007-10-15T00:00:00";"";"Lokaal";"";"154637.15700000001";"208834.071";"4.4350913850000211";"51.189474847000042"
"AN/02/13";"Kruishofstraat";"Kruishofstraat";"over 60";"2020";"ANTWERPEN";"2010-03-10T00:00:00";"";"Lokaal";"TC aanleg - Kristel Simoens";"151826.136";"208424.826";"4.3948813420000761";"51.185812511000051"
"HO/66/13";"L. de Landrelaan";"Lenaart de Landrelaan";"einde straat";"2660";"HOBOKEN";"2011-05-01T00:00:00";"";"Lokaal";"";"148193.74900000001";"207321.28400000001";"4.3429342140000244";"51.175893913000039"
"AN/06/11";"Vincent van Goghplein";"Vincent Van Goghplein";"2";"2060";"ANTWERPEN";"2004-06-01T00:00:00";"";"Lokaal";"";"154244.68700000001";"212432.55300000001";"4.4295206410000674";"51.221822693000036"
"EK/18/12";"Hagelkruispark";"Groot Hagelkruis";"achter 41";"2180";"EKEREN";"2002-06-01T00:00:00";"";"Lokaal";"";"153186.69500000001";"218678.016";"4.4144335280000746";"51.27796571500005"
"HO/66/14";"Louis Mastplein";"Louis Mastplein";"rechts 54";"2660";"HOBOKEN";"2010-10-27T00:00:00";"";"Lokaal";"";"149988.80300000001";"208054.902";"4.3686027410000747";"51.182490613000027"
"ME/17/21";"Gemeentepark";"Speelpleinstraat";"over 366";"2170";"MERKSEM";"2009-10-05T00:00:00";"";"Lokaal";"";"155315.68599999999";"215386.83199999999";"4.4448945550000758";"51.248367726000026"
"AN/00/07";"Frans Halsplein";"Sint-Jacobsmarkt";"over 13";"2000";"ANTWERPEN";"2007-09-26T00:00:00";"";"Lokaal";"Heraangelegd op 26/09/2007";"153042.04800000001";"212364.53599999999";"4.4123059860000353";"51.22121911000005"
"AN/01/01";"Harmonie";"Harmoniestraat";"";"2018";"ANTWERPEN";"1995-01-01T00:00:00";"";"Lokaal";"Heraanleg voorzien";"152971.56700000001";"210170.976";"4.411278641000024";"51.201502829000049"
"AN/01/04";"Fransenplaats";"Fransenplaats";"8";"2018";"ANTWERPEN";"2005-02-01T00:00:00";"";"Lokaal";"";"152055.019";"210069.90900000001";"4.3981646750000323";"51.200598524000043"
"AN/01/05";"Lange Elzenstraat";"Lange Elzenstraat";"over 62";"2018";"ANTWERPEN";"2010-05-20T00:00:00";"";"Lokaal";"";"151746.36499999999";"210244.01500000001";"4.3937496220000298";"51.202164534000076"
"AN/01/06";"Vinkenstraat";"Vinkenstraat";"";"2018";"ANTWERPEN";"2000-07-01T00:00:00";"";"Lokaal";"Heraanleg voorzien 2012";"152510.69";"210507.402";"4.4046871270000452";"51.204529040000068"
"AN/02/02";"Lodewijk de Raetstraat";"Lodewijk De Raetstraat";"over 4-6";"2020";"ANTWERPEN";"2011-07-01T00:00:00";"";"Lokaal";"";"150234.57500000001";"209129.603";"4.3721186150000335";"51.192150493000042"
"AN/02/04";"Volhardingsstraat -Silvertop";"Volhardingstraat";"128";"2020";"ANTWERPEN";"2009-12-01T00:00:00";"";"Lokaal";"";"151495.32399999999";"209417.016";"4.3901542270000391";"51.194731818000037"
"AN/02/05";"Alfons De Cockplein";"Alfons De Cockstraat";"over 47";"2020";"ANTWERPEN";"1999-07-01T00:00:00";"";"Lokaal";"";"150380.68799999999";"208803.353";"4.3742082620000247";"51.189217893000034"
"AN/02/06";"Den Tir";"Valerius De Saedeleerstraat";"";"2020";"ANTWERPEN";"2005-01-17T00:00:00";"";"Lokaal";"";"150527.27900000001";"208999.742";"4.3763053720000471";"51.190982999000028"
"AN/02/07";"Kielpark 2";"Boomsesteenweg";"over nr 97";"2020";"ANTWERPEN";"2002-01-01T00:00:00";"";"Lokaal";"Terrein overgenomen van sociale woonvesting";"151212.50200000001";"209089.18700000001";"4.3861072050000303";"51.191785836000065"
"AN/02/08";"Jan de Voslei";"Jan De Voslei";"";"2020";"ANTWERPEN";"2002-01-01T00:00:00";"";"Lokaal";"Terrein overgenomen van sociale woonvesting";"151283.609";"208996.965";"4.3871239970000602";"51.190956734000054"
"AN/02/10";"Maria Regina";"Jan De Voslei";"";"2020";"ANTWERPEN";"2002-01-01T00:00:00";"";"Lokaal";"Terrein overgenomen van sociale woonvesting";"151380.11799999999";"208717.932";"4.3885033420000354";"51.188448406000077"
"AN/02/11";"Jan Ligthartplein";"Jan Ligthartplein";"";"2020";"ANTWERPEN";"2002-01-01T00:00:00";"";"Lokaal";"Terrein overgenomen van sociale woonvesting";"151426.185";"208624.18100000001";"4.3891618620000372";"51.187605605000044"
"AN/03/01";"Herman Vosstraat rechts vooraan";"Herman Vosstraat";"over 1";"2030";"ANTWERPEN";"1995-01-01T00:00:00";"";"Lokaal";"";"152949.10800000001";"217958.83600000001";"4.4110226630000398";"51.27150288200005"
"AN/03/03";"Dragondersstraat";"Dragondersstraat";"over 1";"2030";"ANTWERPEN";"1999-12-01T00:00:00";"";"Lokaal";"";"152740.76800000001";"218744.43599999999";"4.4080435420000299";"51.278565073000038"
"AN/03/04";"Philadelphiastraat";"Philadelphiastraat";"achter 68";"2030";"ANTWERPEN";"1996-01-01T00:00:00";"";"Lokaal";"";"153947.42000000001";"216541.342";"4.4253114980000419";"51.258755983000071"
"AN/05/03";"Emiel Verhaerenlaan";"Emile Verhaerenlaan";"";"2050";"ANTWERPEN";"1996-01-01T00:00:00";"";"Lokaal";"";"150770.609";"212693.48999999999";"4.3797947610000278";"51.224183734000064"
"AN/05/05";"Beatrijslaan";"Beatrijslaan";"";"2050";"ANTWERPEN";"1997-05-01T00:00:00";"";"Lokaal";"";"151375.84700000001";"212214.726";"4.3884563860000299";"51.219879195000033"
"AN/05/06";"Tijl Uilenspiegellaan";"Tijl Uilenspiegellaan";"achter 63";"2050";"ANTWERPEN";"1997-05-01T00:00:00";"";"Lokaal";"";"150871.71299999999";"213290.20000000001";"4.3812435790000563";"51.229547029000059"
"AN/05/07";"Julius Vuylstekelaan";"Julius Vuylstekelaan";"achter 6-1";"2050";"ANTWERPEN";"1999-05-01T00:00:00";"";"Lokaal";"";"150800.47399999999";"213143.66399999999";"4.3802233640000736";"51.228230023000037"
"AN/05/13";"Bouvaertlaan";"Bouvaertlaan";"achter 20";"2050";"ANTWERPEN";"2000-09-01T00:00:00";"";"Lokaal";"";"151131.68299999999";"213524.875";"4.3849660880000556";"51.231655881000052"
"AN/05/14";"Internationale zeevaartschool";"Beatrijslaan";"";"2050";"ANTWERPEN";"1999-11-01T00:00:00";"";"Lokaal";"";"149576.66099999999";"210804.837";"4.362705960000028";"51.207208282000067"
"AN/05/16";"Wandeldijk 1ste vanaf Boeienweide";"Thonetlaan";"";"2050";"ANTWERPEN";"2006-08-28T00:00:00";"";"Boven lokaal";"";"151497.15900000001";"212656.66500000001";"4.3901946580000413";"51.223851196000055"
"AN/05/18";"Wandeldijk 3 de vanaf boeienweide";"Thonetlaan";"";"2050";"ANTWERPEN";"2006-08-28T00:00:00";"";"Boven lokaal";"";"151620.51999999999";"213670.323";"4.3919652590000737";"51.232961977000059"
"AN/06/02";"Jos Verhelstplein";"Pompoenstraat";"over 4";"2060";"ANTWERPEN";"1997-04-01T00:00:00";"";"Lokaal";"";"154492.08100000001";"213069.65299999999";"4.4330697900000473";"51.227547279000078"
"AN/06/03";"Willy Vandersteenplein";"Willy Vandersteenplein";"";"2060";"ANTWERPEN";"1996-01-01T00:00:00";"";"Lokaal";"";"154245.04500000001";"212715.63";"4.4295291520000433";"51.224367096000037"
"AN/06/05";"Geelhandplaats";"Geelhandplaats";"";"2060";"ANTWERPEN";"2010-05-26T00:00:00";"";"Lokaal";"";"154291.10699999999";"212549.82800000001";"4.4301864950000436";"51.222876456000051"
"AN/06/06";"Noordschippersdok";"Noordschippersdok";"";"2060";"ANTWERPEN";"2000-07-01T00:00:00";"";"Lokaal";"";"154341.17800000001";"213716.27600000001";"4.4309174730000223";"51.233360538000056"
"AN/06/07";"Duinplak";"Duinstraat";"";"2060";"ANTWERPEN";"2004-01-01T00:00:00";"";"Lokaal";"";"154100.82000000001";"212465.875";"4.4274617750000402";"51.222123267000029"
"AN/06/08";"Zusters der armenplein";"Rotterdamstraat";"";"2060";"ANTWERPEN";"2005-11-17T00:00:00";"";"Lokaal";"";"153643.815";"212589.209";"4.4209216270000411";"51.22323497900004"
"AN/06/09";"Sint Jansplein";"Sint-Jansplein";"";"2060";"ANTWERPEN";"2006-04-21T00:00:00";"";"Lokaal";"";"153413.87299999999";"212882.69699999999";"4.4176330730000473";"51.225874403000034"
"BE/60/02";"Strijdhoflaan";"Strijdhoflaan";"tss 77 - 5";"2600";"BERCHEM";"2005-02-03T00:00:00";"";"Lokaal";"";"154040.318";"208315.73199999999";"4.4265485080000531";"51.184820328000058"
"BE/60/04";"Maloustraat";"Maloustraat";"over nr 2";"2600";"BERCHEM";"2003-01-01T00:00:00";"";"Lokaal";"";"153897.427";"209853.84299999999";"4.4245217500000535";"51.198646637000081"
"BE/60/05";"Villegaspark";"Uitbreidingstraat";"over nrs 2";"2600";"BERCHEM";"1996-01-01T00:00:00";"";"Lokaal";"";"153929.95600000001";"209392.68700000001";"4.4249820150000687";"51.194501320000029"
"BE/60/08";"Het Rooi";"Berchemboslaan";"hoek";"2600";"BERCHEM";"1996-01-01T00:00:00";"";"Lokaal";"heraangelegd 06/06/2011";"154850.95499999999";"208335.995";"4.4381426960000567";"51.184996096000077"
"BE/60/09";"Wasstraat";"Wasstraat";"recht van";"2600";"BERCHEM";"1999-01-01T00:00:00";"";"Lokaal";"";"153556.28899999999";"209755.87299999999";"4.4196402860000603";"51.197768291000045"
"BE/60/13";"Rodekruislaan";"Rodekruislaan";"over 5";"2600";"BERCHEM";"2010-04-06T00:00:00";"";"Lokaal";"";"154952.348";"210291.83900000001";"4.4396200270000463";"51.202575300000035"
"BE/60/15";"Potvlietlaan";"Potvlietlaan";"over 34";"2600";"BERCHEM";"2005-05-01T00:00:00";"";"Lokaal";"";"155196.663";"210472.87700000001";"4.4431182440000612";"51.204200366000066"
"BE/60/17";"Frans van Hombeeckplein";"Frans Van Hombeeckplein";"";"2600";"BERCHEM";"2001-08-01T00:00:00";"";"Lokaal";"";"153387.28099999999";"209443.30100000001";"4.4172194280000667";"51.194959786000027"
"BE/60/18";"Brilschanspark M.A.straat";"Marcel Auburtinlaan";"over 63";"2600";"BERCHEM";"2000-04-01T00:00:00";"";"Lokaal";"";"154296.87100000001";"208996.685";"4.4302260180000417";"51.190939188000073"
