"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"cultuur";"cc Merksem";"Cultuurcentrum Merksem doet cultuur ̩cht leven door nieuwsgierig te zoeken naar het beste van district en stad. Het is een open huis voor talent, kunstenaars, ontmoeting, liefhebbers en vooral heel veel feest.";"Nieuwdreef 135";"2170";"Merksem";"4.4372611";"51.2505373"
"districtshuis";"Districtshuis Wilrijk (tijdelijk)";;"doornstraat 3C";"2610";"Wilrijk";"4.3970874850000428";"51.168626429000028"
"districtshuis";"Districtshuis Wilrijk (in verbouwing)";;"bist 1";"2610";"Wilrijk";"4.3942868020000674";"51.169365249000066"
"districtshuis";"Districtshuis Merksem";;"burgemeester jozef nolfplein 1";"2170";"Merksem";"4.441642133000073";"51.242071444000032"
"districtshuis";"Districtshuis Hoboken";;"marneflaan 3";"2660";"Hoboken";"4.3532597970000211";"51.170999231000053"
"districtshuis";"Districtshuis Ekeren";;"veltwijcklaan 27";"2180";"Ekeren";"4.424548843000025";"51.276393413000051"
"districtshuis";"Districtshuis Deurne";;"maurice dequeeckerplein 1";"2100";"Deurne";"4.4597840000000701";"51.218632521000075"
"districtshuis";"Districtshuis Borgerhout";;"moorkensplein 1";"2140";"Borgerhout";"4.4335213430000522";"51.213596470000027"
"districtshuis";"Districtshuis Berendrecht-Zandvliet-Lillo";;"antwerpsebaan 140-142";"2040";"Bezali";"4.3217508880000537";"51.344214835000059"
"districtshuis";"Districtshuis Berchem";;"grotesteenweg 150";"2600";"Berchem";"4.419652597000038";"51.195244291000051"
"districtshuis";"Districtshuis Antwerpen";;"lange gasthuisstraat 21";"2000";"Antwerpen";"4.4058492220000289";"51.215493590000051"
"glascontainer";"382";;"maccabilaan null";"2660";;"4.3381984030000353";"51.175783092000074"
"glascontainer";"279";;"grotebaan 23";"2660";;"4.3415041210000709";"51.172884624000062"
"glascontainer";"208";;"jozef leemanslaan null";"2660";;"4.3440383540000198";"51.173974972000053"
"glascontainer";"041";;"smallandlaan 7";"2660";;"4.3370690070000251";"51.181813671000043"
"glascontainer";"033";;"smallandlaan 7";"2660";;"4.3371768510000379";"51.181860322000034"
"glascontainer";"116";;"smallandlaan 7";"2660";;"4.3372712270000306";"51.181902727000079"
"glascontainer";"196";;"smallandlaan 7";"2660";;"4.3373723550000705";"51.181940891000067"
"glascontainer";"244";;"restringenlaan null";"2660";;"4.3419018410000376";"51.18514164100003"
"glascontainer";"098";;"schroeilaan null";"2660";;"4.3478369860000612";"51.182850028000075"
"glascontainer";"114";;"schroeilaan null";"2660";;"4.3479178900000761";"51.182883937000042"
"glascontainer";"253";;"berkenrodelei 126";"2660";;"4.3488084230000368";"51.181744066000078"
"glascontainer";"201";;"commandant weynsstraat 116";"2660";;"4.3526513440000372";"51.183384712000077"
"glascontainer";"212";;"van de perrelei 9";"2660";;"4.3555721750000203";"51.179274190000058"
"glascontainer";"194";;"steynstraat 330";"2660";;"4.3663129160000267";"51.183978951000029"
"glascontainer";"013";;"steynstraat 330";"2660";;"4.3663870850000421";"51.184021332000043"
"glascontainer";"448";;"weerstandlaan 6A";"2660";;"4.3690299470000582";"51.185691718000044"
"glascontainer";"010";;"zeelandstraat null";"2660";;"4.3711002840000219";"51.18524059300006"
"glascontainer";"198";;"zeelandstraat null";"2660";;"4.3710708380000369";"51.185261258000025"
"glascontainer";"630";;"voetbalstraat 32";"2660";;"4.3733034030000226";"51.183848182000077"
"glascontainer";"183";;"huisblokstraat null";"2610";;"4.3852461070000572";"51.176420101000076"
