title;address;gisx;gisy
Het Vosje - campus De Tandem;Jan de Voslei 10, 2020 Antwerpen;4.3898421;51.1878952
"De Pingu&#239;n";Valerius De Saedeleerstraat 2, 2020 Antwerpen;4.3761824;51.1915649
Leefschool Toverbol;Wittestraat 116, 2020 Antwerpen;4.3838386;51.1874310
Domino;Jan De Voslei 23A, 2020 Antwerpen;4.3889899;51.1885275
H. Pius X-instituut;VIIde-Olympiadelaan 25, 2020 Antwerpen;4.3878308;51.1836163
Maria Boodschap;Perustraat 4, 2030 Antwerpen;4.4238083;51.2531698
Willem Tell;Kruisboogstraat 49, 2030 Antwerpen;4.4098346;51.2764669
De Schroef (schipperskinderen);Elzasweg 14, 2030 Antwerpen;4.4121749;51.2423871
De Zwemschool;Quebecstraat 3, 2030 Antwerpen;4.4226978;51.2582100
De Zwemschool;Dokter Decrolystraat 2, 2030 Antwerpen;4.4226978;51.2582100
De Brem;Bremstraat 1, 2040 Antwerpen;4.3260667;51.3573076
Noordland;Begijnhoeve 6, 2040 Antwerpen;4.3093810;51.3615351
Noordland;Spaanse Molenstraat 48, 2040 Antwerpen;4.3114543;51.3603736
Berenschool;Monnikenhofstraat 25, 2040 Berendrecht;4.3166456;51.3445962
De Brenne;Monnikenhofstraat 3, 2040 Antwerpen;4.3165664;51.3445518
Tehuis voor schipperskinderen De Spits;Thonetlaan 106, 2050 Antwerpen;4.3896133;51.2248582
School aan de Stroom;Willem Van Haechtlaan 66, 2050 Antwerpen;4.3840058;51.2311862
De @penstaartjes;Hanegraefstraat 15, 2050 Antwerpen;4.3801666;51.2189633
De Dobbelsteen;Emile Verhaerenlaan 19, 2050 Antwerpen;4.3830697;51.2234816
De Dobbelsteen;Willem Gijsselsstraat 1, 2050 Antwerpen;4.3772112;51.2234076
Sint-Anna Goethe;Goethestraat 1, 2050 Antwerpen;4.3913842;51.2314081
Sint-Eligiusinstituut;Van Helmontstraat 29, 2060 Antwerpen;4.4362569;51.2254191
De Vlinders;Lange Beeldekensstraat 258, 2060 Antwerpen;4.4338744;51.2218720
De Evenaar;Constitutiestraat 61, 2060 Antwerpen;4.4279933;51.2192354
Omnimundo;Van Maerlantstraat 30, 2060 Antwerpen;4.4176585;51.2233149
De Gummi\'s;Sint-Gummarusstraat 2, 2060 Antwerpen;4.4192782;51.2247761
De Bijtjes;Offerandestraat 60, 2060 Antwerpen;4.4256539;51.2204573
De Clowntjes;Everaertsstraat 47, 2060 Antwerpen;4.4242732;51.2271804
De Musjes;Pionierstraat 35, 2060 Antwerpen;4.4273617;51.2247874
Villa Stuivenberg;Stuivenbergplein 37, 2060 Antwerpen;4.4315192;51.2268619
De Vuurtoren;Lange Kongostraat 17, 2060 Antwerpen;4.4381612;51.2231387
Sint-Aloysius;Vliegenstraat 23, 2060 Antwerpen;4.4210561;51.2254515
Sint-Maria;Lange Kongostraat 21, 2060 Antwerpen;4.4395074;51.2231137
De Pijl;Pijlstraat 2, 2060 Antwerpen;4.4187559;51.2214576
\'t Spoor;Demerstraat 18, 2060 Antwerpen;4.4294586;51.2304580
Sint-Norbertusinstituut;Groenstraat 73, 2060 Antwerpen;4.4330709;51.2186867
Sint-Henricus;Dahliastraat 20, 2060 Antwerpen;4.4198987;51.2268091
De Kangoeroe;Ruggeveldlaan 699, 2100 Deurne;4.4790955;51.2277302
De Kangoeroe;Frans Versmissenlaan 19, 2100 Deurne;4.4769523;51.2271760
Het Baronneke;Baron Leroystraat 31, 2100 Deurne;4.4684443;51.2258457
Kriebel;Lakborslei 262, 2100 Deurne;4.4545791;51.2279058
De Spe(e)lvogel;Schotensesteenweg 138, 2100 Deurne;4.4806440;51.2219216
De Bever;Albert Bevernagelei 65, 2100 Deurne;4.4482052;51.2331330
De Bever;Van Duyststraat 248, 2100 Deurne;4.4524037;51.2327654
"De Moza&#239;ek";Silsburgstraat 83, 2100 Deurne;4.4751458;51.2075545
De Octopus;Sint-Rochusstraat 124, 2100 Deurne;4.4638866;51.2041150
InPEERi@;De Gryspeerstraat 84, 2100 Deurne;4.4511966;51.2269485
Het Vliegertje;Borsbeeksesteenweg 128, 2100 Deurne;4.4681232;51.1946789
De Groene Egel;Maria de Heeltstraat 114, 2100 Deurne;5.7950679;51.4642201
Het Spuiterke;Waterbaan 25, 2100 Deurne;4.4633581;51.2073959
De Hoedjes van Papier;Maarschalk Montgomerylaan 15, 2100 Deurne;4.4671981;51.1984495
De Rakkertjes;Louis Wanbecqstraat 9, 2100 Deurne;4.4603492;51.2242587
Koeienschooltje;Haviklaan 2, 2100 Deurne;4.4881983;51.2229339
Het Pieterke;Pieter van Isackerlaan 1a, 2100 Deurne;4.4586030;51.2122588
Axijoma;Sint-Fredegandusstraat 32, 2100 Deurne;4.4610228;51.2295077
Axijoma;De Berlaimontstraat 110, 2100 Deurne;4.4589343;51.2285833
Immaculata;Van Dornestraat 125, 2100 Deurne;4.4493875;51.2300497
Sint Godelieve;Van Cortbeemdelei 277, 2100 Deurne;4.4512366;51.2335627
Andromeda Her;Herentalsebaan 482, 2100 Deurne;4.4719011;51.2055503
\'t Speelscholeke (ervaringsgericht onderwijs);Hertstraat 7, 2100 Deurne;4.4562920;51.2198806
Drakenhof;Drakenhoflaan 242, 2100 Deurne;4.4658374;51.1949735
Heilig Hart - De Ster;Seraphin de Grootestraat 120, 2100 Deurne;4.4819076;51.2208919
Heilig Hart - De Zon;Schotensesteenweg 79, 2100 Deurne;4.4790411;51.2212685
Sancta Maria;Pieter de Ridderstraat 5, 2100 Deurne;4.4616894;51.2235103
Sancta Maria;Gallifortlei 146, 2100 Deurne;4.4648060;51.2240788
Sancta Maria;Coeveltstraat 9, 2100 Deurne;4.4554514;51.2207330
