"title";"description";"address";"gisx";"gisy";"image";"link"
"\'t Egeltje";"";"Boomgaardstraat 195, 2018 Antwerpen";"4.4281689";"51.2005829";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039514"
"De Puppies";"";"Grote Hondstraat 50-52, 2018 Antwerpen";"4.4298886";"51.2059497";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039492"
"De Puzzel";"";"Provinciestraat 55, 2018 Antwerpen";"4.4263237";"51.2161532";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039496"
"Dol-Fijntje";"";"Belegstraat 62, 2018 Antwerpen";"4.3966761";"51.2042707";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_kdv_dol_fijntje.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039498"
"La Primavera";"";"Goethestraat 5, 2050 Antwerpen";"4.3901515";"51.2314833";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6010098"
"De Koekoek";"";"Gr&#233;trystraat 46, 2018 Antwerpen";"4.4171809";"51.2022663";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039482"
"De Molen";"";"Molenstraat 24, 2018 Antwerpen";"4.4071541";"51.2068687";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8039485"
"Pagadder";"";"Lange Riddersstraat 52, 2000 Antwerpen";"4.3966849";"51.2162648";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/Etende_kindjes_KDVPagadder.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6009974"
"De Zonnestraaltjes";"";"Graaf Van Egmontstraat 18, 2000 Antwerpen";"4.3940855";"51.2113961";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6010096"
"Skoebidoe";"";"Keizerstraat 71, 2000 Antwerpen";"4.4101205";"51.2212776";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6010097"
"Bloemendal";"";"Kleinebeerstraat 8-10, 2018 Antwerpen";"4.4275680";"51.2077118";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6009703"
"Cocoon";"";"Lamorini&#232;restraat 93, 2018 Antwerpen";"4.4217873";"51.2050049";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6009704"
"Patrasche";"";"Oudestraat 55, 2660 Hoboken";"4.3533230";"51.1762276";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=6009911"
"OKiDO Kiekeboe";"";"Evert Larockstraat 2, 2020 Antwerpen";"4.3747570";"51.1930850";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8188073"
"OKiDO Pieni";"";"Maaldersstraat 59, 2060 Antwerpen";"4.4239601";"51.2242585";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8196610"
"OKiDO-mobiel Nova";"";"Schijfstraat 105, 2020 Antwerpen";"4.3731402";"51.1908037";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8204351"
"OKiDO - Klein Elief";"";"Ferdinand Coosemansstraat 116, 2600 Berchem";"4.4214817";"51.1988391";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/DSC_3714.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8042449"
"OKiDO Stekelbees Kievit";"";"Ketsstraat 15, 2018 Antwerpen";"4.4266119";"51.2146905";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8046648"
