"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"119";"2011118";"Hollandstraat";"Hollandstraat";"21-27";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4199360150000757";"51.223407510000072"
"120";"2011119";"Kempenstraat_Spitsenstraat";"Kempenstraat";"hoek Spitsenstraat";"2030";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4172559430000433";"51.231796845000076"
"121";"2011120";"Delinstraat_Sint_Elisabethstraat";"Delinstraat";"hoek Sint-Elisabethstraat";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4238733900000398";"51.222572725000077"
"122";"2011067";"DAMBRUGGESTRAAT - OUDESTEENWEG";"Dambruggestraat";"Oudesteenweg";"2060";"Antwerpen";"4.  In Onderzoek";"ja";"2012";"2012";"4.421553106000033";"51.223548430000051"
"123";"2011122";"Delinstraat_Lange_Beeldekensstraat";"Delinstraat";"58";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4240379310000435";"51.221344556000076"
"124";"2011123";"PARK SPOOR NOORD";"Halenstraat";"over nr 71";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4340654630000245";"51.22796280600005"
"125";"2011124";"Sint_Norbertusstraat";"St Norbertusstraat";"over nr 16";"2060";"Antwerpen";"4.  In Onderzoek";"ja";"2014";"2014";"4.4234128070000338";"51.226055657000074"
"126";"2011125";"Stuivenbergplein";"Stuivenbergplein";"over nr 74-85";"2060";"Antwerpen";"6.  Uitgesteld";"ja";"2014";"2014";"4.4288433730000634";"51.226305977000038"
"127";"2011130";"Gloriantlaan_62_64";"Gloriantlaan";"62-64";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2014";"2014";"4.3852098250000608";"51.224637679000068"
"128";"2011131";"Dageraadplaats";"Dageraadplaats";"over nr 29";"2018";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4296981370000594";"51.206960977000051"
"129";"2011159";"Lange_Lozannastraat_101_103";"Lange Lozanastraat";"101-103";"2018";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4050484560000314";"51.203671652000025"
"130";"2011160";"Wittestraat";"Wittestraat";"hoek Boomsesteenweg";"2020";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.3865565840000613";"51.189718915000071"
"131";"2011161";"De_Bosschaertstraat_186";"De Bosschaertstraat";"naast nr 186";"2020";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.3819055340000546";"51.18660449500004"
