"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"1";"2011220";"DUINSTRAAT";"Geelhandplaats";"binnenplein";"2060";"Antwerpen";"6.  Uitgesteld";"nee";"2050";"2050";"4.430183851000038";"51.222920667000039"
"2";"2011172";"VISÃSTRAAT - 12";"VisÃ©straat";"12";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4246119240000326";"51.229028210000081"
"3";"2011169";"VISÃSTRAAT - 80";"VisÃ©straat";"80";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4291333020000252";"51.228083799000046"
"4";"2011126";"JOS VERHELSTPLEIN";"Jos Verhelstplein";"1";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.4326784490000364";"51.227715133000061"
"5";"2011071";"Handelsstraat - Lange_Stuivenberstraat";"Handelsstraat";"1";"2060";"Antwerpen";"5.  Gevraagd";"Ja";"2012";"2012";"4.4316228140000362";"51.224305523000055"
"6";"2011064";"Helmstraat";"Helmstraat";"hoek Schapenstraat";"2140";"Borgerhout";"5.  Gevraagd";"Ja";"2011";"2011";"4.4359829520000744";"51.218035309000072"
"7";"2011075";"Vincottestraat";"Vincottestraat";"1 - 11";"2140";"Borgerhout";"6.  Uitgesteld";"Ja";"2012";"2012";"4.4374284010000338";"51.215618150000068"
"8";"2011183";"Waterhoenlaan";"Waterhoenlaan";"6";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3817973020000522";"51.22115007900004"
"9";"2011184";"Victor_De_La_Montagnestraat";"Victor De la Montagnestraat";"18";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3789034880000486";"51.222770771000057"
"10";"2011079";"IGLO";"Carel Van Manderstraat";"2";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2013";"2013";"4.3833187790000352";"51.224345910000068"
"11";"2011080";"IGLO";"Ernest Claesstraat 1";"1";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2013";"2013";"4.381216413000061";"51.224193107000076"
"12";"2011083";"IGLO";"Ernest_Claesstraat_10-16";"10 - 16";"2050";"Antwerpen";"4.  In Onderzoek";"nee";"2013";"2013";"4.3821446570000262";"51.225256099000035"
"13";"2011128";"Charles_De_Costerlaan_7_13";"Charles De Costerlaan";"7 - 13";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2014";"2014";"4.3837693970000373";"51.226762152000049"
"14";"2011129";"Gloriantlaan_54_56";"Gloriantlaan";"54-56";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2014";"2014";"4.3851936030000616";"51.226369691000059"
"15";"2011181";"Reinaertlaan";"Reinaertlaan";"8";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3836449100000436";"51.228080152000075"
"16";"2011221";"Julius_Vuylstekelaan";"Julius Vuylstekelaan";"6 - 12";"2050";"Antwerpen";"6.  Uitgesteld";"nee";"2050";"2050";"4.3802215300000285";"51.228692491000061"
"17";"2011158";"Haantjeslei";"Haantjeslei";"159";"2018";"Antwerpen";"4.  In Onderzoek";"nee";"0";"2012";"4.4031291470000724";"51.201760504000049"
"18";"2011068";"Lange_Lozanastraat_Vinkenstraat";"Lange Lozanastraat";"hoek Vinkenstraat";"2018";"Antwerpen";"5.  Gevraagd";"ja";"2012";"2012";"4.4046354430000747";"51.204560171000026"
"19";"2011252";"BREDERODE";"Balansstraat";"71";"2018";"Antwerpen";"6.  Uitgesteld";"ja";"2012";"2012";"4.3935660350000489";"51.202036814000053"
"20";"2011273";"STUDENTENBUURT";"Varkensmarkt";"tegenover 4";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"0";"0";"4.4076208520000364";"51.225000641000065"
"21";"2011121";"Dambruggestraat_157";"Dambruggestraat";"157";"2060";"Antwerpen";"4.  In Onderzoek";"ja";"2014";"2014";"4.4221849990000237";"51.227159937000067"
"22";"2011099";"Spoorstraat";"Spoorstraat";"5A-D";"2060";"Antwerpen";"6.  Uitgesteld";"ja";"2014";"2014";"4.4206257610000534";"51.222672122000063"
"23";"2011065";"Van_Maerlantstraat";"Van Maerlantstraat";"pleintje Osystraat";"2060";"Antwerpen";"5.  Gevraagd";"Ja";"2012";"2012";"4.4183140760000583";"51.22211515500004"
"24";"2011101";"Emiel_Vloorstraat_6_8";"Emiel Vloorstraat";"6 - 8";"2020";"Antwerpen";"5.  Gevraagd";"Ja";"2014";"2014";"4.3768167310000763";"51.193357128000059"
"25";"2011163";"Piet_Verhaertstraat";"Piet Verhaertstraat";"19";"2020";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.3781829320000725";"51.192439811000042"
"26";"2011102";"Emiel Vloorstraat_11";"Emiel Vloorstraat";"11";"2020";"Antwerpen";"5.  Gevraagd";"Ja";"2014";"2014";"4.3733217530000275";"51.192627108000067"
"27";"2011272";"Jan Davidlei";"Max Roosestraat";"31-33";"2020";"Antwerpen";"5.  Gevraagd";"ja";"";"";"4.3744270770000639";"51.188161581000031"
"28";"2011107";"Boomsesteenweg";"Boomsesteenweg";"249";"2020";"Antwerpen";"5.  Gevraagd";"Ja";"2014";"2014";"4.3866164940000658";"51.190835651000043"
"29";"2011103";"Jan De Voslei";"Willem Eekelerstraat";"51";"2020";"Antwerpen";"3.  In Wacht";"ja";"2014";"2014";"4.388939821000065";"51.191851610000072"
"30";"2011105";"Jan De Voslei";"Jan De Voslei";"12-30";"2020";"Antwerpen";"3.  In Wacht";"ja";"2014";"2014";"4.3888261470000316";"51.188778033000062"
"31";"2011104";"Jan De Voslei";"Jan De Voslei";"34-36";"2020";"Antwerpen";"6.  Uitgesteld";"ja";"2014";"2014";"4.388815945000033";"51.187834272000032"
"32";"2011136";"FRUITHOFLAAN - 112";"Fruithoflaan";"112";"2600";"Berchem";"4.  In Onderzoek";"Ja";"2014";"2014";"4.4408099280000215";"51.184714862000078"
"33";"2011134";"FRUITHOFLAAN - 70";"Fruithoflaan";"70";"2600";"Berchem";"4.  In Onderzoek";"Ja";"2014";"2014";"4.436398160000067";"51.182081975000074"
"34";"2011138";"Corneel_Jaspersstraat";"Corneel Jaspersstraat";"hoek Corneel Van Reethstraat";"2600";"Berchem";"6.  Uitgesteld";"ja";"2014";"2014";"4.4378857310000512";"51.198159954000062"
"35";"2011197";"Tramplein";"Transvaalstraat";"";"2600";"Berchem";"4.  In Onderzoek";"ja";"2020";"2020";"4.4325966430000676";"51.205888212000048"
"36";"2011113";"Groenendaallaan_310_348";"Groenendaallaan";"310-348";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2014";"2014";"4.4216748230000462";"51.245973394000032"
"37";"2011112";"Hondurasstraat";"Hondurasstraat";"1 - 3";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2014";"2014";"4.4222026360000655";"51.25011905100007"
"38";"2011110";"Venezuelastraat_1";"Venezuelastraat";"1";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2014";"2014";"4.4215336040000466";"51.253921363000075"
"39";"2011078";"LUCHTBAL";"Cardiffstraat";"2";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2013";"2013";"4.4228363200000445";"51.254807836000055"
"40";"2011164";"LUCHTBAL";"Philadelphiastraat";"10 - 20";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2020";"2020";"4.4245229360000735";"51.259355668000069"
"41";"2011165";"LUCHTBAL";"Bostonstraat";"naast nr 13-15";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2020";"2020";"4.4223560600000269";"51.259952266000028"
"42";"2011156";"Rucaplein";"Rucaplein";"over nr 501";"2610";"Wilrijk";"5.  Gevraagd";"Ja";"2014";"2014";"4.4212645410000277";"51.178633795000053"
"43";"2011200";"Bokspane";"Bokspane";"naast nr 30";"2040";"Bezali";"5.  Gevraagd";"ja";"2020";"2020";"4.3098649450000721";"51.345841901000028"
"44";"2011150";"Rector_Vermeylenlaan";"Rector Vermeylenlaan";"26-28";"2660";"Hoboken";"4.  In Onderzoek";"Ja";"2014";"2014";"4.3670126760000585";"51.171205691000068"
"45";"2011157";"NEERLAND";"Krijgslaan -> Vuurkruisenlaan";"over nr 80";"2610";"Wilrijk";"4.  In Onderzoek";"nee";"2014";"2014";"4.39354271600007";"51.162517669000067"
"46";"2011096";"BIST";"Bist";"48-151";"2610";"Wilrijk";"6.  Uitgesteld";"Ja";"0";"";"4.394138918000067";"51.170217287000071"
"47";"2011155";"Kruishofstraat";"Kruishofstraat";"144";"2020";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.392266677000066";"51.182119452000052"
"48";"2011127";"Van der Sweepstraat";"Van der Sweepstraat";"naast nr 12";"2000";"Antwerpen";"5.  Gevraagd";"ja";"2014";"2014";"4.3855029930000455";"51.20677162800007"
"49";"2011271";"Collegelaan";"Collegelaan";"36";"2140";"Borgerhout";"5.  Gevraagd";"ja";"";"";"4.4582971290000728";"51.213770202000035"
"50";"2011148";"Wouter Haecklaan_4";"Wouter Haecklaan";"over nr 4";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4595586100000446";"51.213011357000028"
"51";"2011145";"GabriÃ«l Vervoortstraat_27";"GabriÃ«l Vervoortstraat";"over nr 27";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4609724350000306";"51.207502636000072"
"52";"2011088";"Plankenbergstraat";"Plankenbergstraat";"52";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2013";"2013";"4.4647561520000636";"51.221299439000063"
"53";"2011202";"Te Couwelaerlei";"Te Couwelaerlei";"120";"2100";"Deurne";"5.  Gevraagd";"Ja";"2020";"2020";"4.4583911880000642";"51.222926200000074"
"54";"2011140";"Gallifortlei";"Gallifortlei";"over nr 237";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4659691550000389";"51.22523801300008"
"55";"2011139";"Baron Leroystraat";"Baron Leroystraat";"over nrs 91-93-95";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4728177090000258";"51.225789943000052"
"56";"2011203";"Wim Saerensplein";"Wim Saerensplein";"over nr 25";"2100";"Deurne";"4.  In Onderzoek";"Ja";"2020";"2012";"4.47860875300006";"51.228826577000063"
"57";"2011204";"De Bisthovenlei";"De Bisthovenlei";"over nrs 82-84";"2100";"Deurne";"5.  Gevraagd";"Ja";"2020";"2020";"4.4567852090000315";"51.227002317000029"
"58";"2011143";"Ten Eeckhovenlei";"Ten Eeckhovelei";"over nr 104";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4495968170000424";"51.226733076000073"
"59";"2011093";"Van Deynseplein";"Van Deynsestraat";"over nr 123";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2013";"2013";"4.4509522050000214";"51.230030554000052"
"60";"2011090";"KRONENBURG";"Van Cortbeemdelei";"pleintje met Van Duyststraat";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2013";"2013";"4.4445929420000425";"51.231305090000035"
"61";"2011089";"Tweemontstraat";"Tweemontstraat";"72";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2013";"2013";"4.4528786950000381";"51.234206494000034"
"62";"2011091";"KRONENBURG";"Van Cortbeemdelei";"pleintje met Van Amstelstraat";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2013";"2013";"4.448092177000035";"51.233383028000048"
"63";"2011216";"Distelhoek";"Distelhoek";"achter Lambrechtshoekenlaan 209-211";"2170";"Merksem";"6.  Uitgesteld";"Ja";"2020";"2020";"4.4331595270000435";"51.25128512200007"
