"id";"thema";"type";"subtype";"naam";"straatnaam";"postcode";"district";"publiek_detail";"bereik";"grond_opp";"opp_ha";"lgst_niv";"hgst_niv";"x_coord";"y_coord";"ligging";"bezoekersaantal";"algemeen_uitzicht";"netheid";"hoogte_afsluiting";"materiaal_afsluiting";"aantal_vuilnisbakken";"aantal_zitbanken";"verlichting";"andere_objecten";"type_ondergrond";"quotering_algemeen";"point_lng";"point_lat"
"OPR0427";"groene open ruimte";"gebruiksgroen";"hondenweide";"WANNINKHOVELAAN";"WANNINKHOVELAAN";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"1581.65796";"0.15816579";"buurt";"stadsdeel";"151577.06059999001";"205010.79579999999";"ongeschikt";"zeer hoog";"goed";"goed";"1m05";"staalmat/ maasdraad";"2";"1";"geen";"";"zand";"VOLDOET NIET";"4.3913097560000551";"51.155125841000029"
"OPR0430";"groene open ruimte";"gebruiksgroen";"hondenweide";"DE NELISPLEIN";"DE NELISPLEIN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"511.31679400000002";"0.051131669999999997";"buurt";"stadsdeel";"151451.32999999";"209096.14499999999";"minder geschikt";"hoog";"aanvaardbaar";"aanvaarbaar";"0lm95";"maasdraad zonder bovenbuis";"1";"0";"rechtstreeks";"";"gras/zand";"AANPASSEN";"4.3898468940000726";"51.191813860000082"
"OPR0431";"groene open ruimte";"gebruiksgroen";"hondenweide";"TEN EECKHOVELEI";"TEN EECKHOVELEI";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"6251";"0.62509999999999999";"buurt";"stadsdeel";"155394.45699999999";"213196.61499999001";"geschikt";"hoog";"goed";"goed";"1m05";"staalmat/ maasdraad";"2";"1";"onrechtstreeks";"";"gras";"OK";"4.450272367000025";"51.224040740000078"
"OPR0432";"groene open ruimte";"gebruiksgroen";"hondenweide";"TAXANDRIASTRAAT";"TAXANDRIASTRAAT";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"329";"0.032899999999999999";"buurt";"stadsdeel";"154597.11199999999";"214427.59899999";"zeer geschikt";"hoog";"goed";"goed";"1m05 en 1m60";"maasdraad zonder bovenbuis";"1";"0";"geen";"";"gras";"TE KLEIN";"4.4344741330000375";"51.23971630300008"
"OPR0433";"groene open ruimte";"gebruiksgroen";"hondenweide";"WINTERLING";"WINTERLING";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"521.55384300000003";"0.052155380000000001";"buurt";"stadsdeel";"154172.516";"214477.65100000001";"minder geschikt";"hoog";"goed";"goed";"1m05";"staalmat/ maasdraad";"1";"0";"geen";"<Null>";"gras";"OK";"4.428395460000047";"51.239753772000029"
"OPR0434";"groene open ruimte";"gebruiksgroen";"hondenweide";"HENDRIK VAN BOUTERSEMSTRAAT";"HENDRIK VAN BOUTERSEMSTRAAT";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"673.93512799999996";"0.067393510000000004";"buurt";"stadsdeel";"154154.31299999999";"215632.93899999";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"0";"onrechtstreeks";"<Null>";"gras/zand";"OK";"4.4289369580000653";"51.250302637000061"
"OPR0435";"groene open ruimte";"gebruiksgroen";"hondenweide";"STRIJDHOFLAAN";"STRIJDHOFLAAN";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"147.14340899999999";"0.014714339999999999";"buurt";"stadsdeel";"154035.09399999";"208316.34400000001";"geschikt";"hoog";"onaanvaardbaar";"slecht";"1m00 en 2m00";"staalmat";"1";"0";"onrechtstreeks";"";"zand";"UITBREIDEN GEWENST";"4.4267966130000218";"51.184689356000035"
"OPR0436";"groene open ruimte";"gebruiksgroen";"hondenweide";"KAREL COGGESTRAAT";"KAREL COGGESTRAAT";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"5230.1167990000004";"0.52301167000000004";"buurt";"stadsdeel";"154495.38799998999";"209285.04699999001";"zeer geschikt";"hoog";"goed";"goed";"2m00 en 1m00";"staalmat/ maasdraad";"1";"2";"onrechtstreeks";"";"gras";"OK";"4.4335061560000213";"51.19417827500007"
"OPR0438";"groene open ruimte";"gebruiksgroen";"hondenweide";"PRELATENSTRAAT/DORPSTRAAT";"PRELATENSTRAAT";"2040";"BERENDRECHT";"formeel groen, ingericht of bedoeld voor recreatie";"";"281";"0.0281";"buurt";"stadsdeel";"146059.008";"226241.5128";"geschikt";"hoog";"goed";"goed";"1m05";"staalmat/ maasdraad";"1";"0";"geen";"";"gras";"UITBREIDEN GEWENST";"4.3122181760000444";"51.345922655000038"
"OPR0439";"groene open ruimte";"gebruiksgroen";"hondenweide";"KRUISBOS/G. DAMAESSTRAAT";"KRUISBOS";"2040";"BERENDRECHT";"formeel groen, ingericht of bedoeld voor recreatie";"";"800.72318600000006";"0.080072309999999994";"buurt";"stadsdeel";"147329.18079998999";"226293.0165";"zeer geschikt";"weinig";"goed";"goed";"1m05";"staalmat";"1";"0";"geen";"";"gras";"OK";"4.3304295290000709";"51.346405861000051"
