"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4155906880000657";"51.214069631000029"
"STADSPARK";" ";"2018";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4155319740000323";"51.213990728000056"
"STADSPARK";" ";"2018";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4156048700000383";"51.213805527000034"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4155903710000644";"51.21381763200003"
"STADSPARK";" ";"2018";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4155777780000562";"51.21366602900008"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4154954670000279";"51.21358873500003"
"SINT-JANSPLEIN";"60";"2060";"05";"vroeger 1612";"2012-04-18T00:00:00";"9103";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4169607370000676";"51.225527932000034"
"SINT-JANSPLEIN";"";"2060";"05";" ";"2009-12-04T00:00:00";"1290";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4171811360000675";"51.225496029000055"
"SINT-JANSPLEIN";"56";"2060";"05";"vroeger 1567";"2012-04-18T00:00:00";"9128";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4169955340000229";"51.225377937000076"
"SINT-JANSPLEIN";"";"2060";"05";" ";"2009-12-04T00:00:00";"1317";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4172747750000667";"51.225287738000077"
"SINT-JANSPLEIN";"51";"2060";"05";"vroeger 1952";"2012-04-18T00:00:00";"9184";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4170595310000635";"51.225172328000042"
"SINT-JANSPLEIN";"51";"2060";"05";"vroeger 1859";"2012-04-18T00:00:00";"9056";"geen opdracht";"CC";"ja";"fase III";"";"midden";"stadsreiniging";"4.4170915260000356";"51.225147030000073"
"SINT-JANSPLEIN";"";"2060";"05";" ";"2009-12-04T00:00:00";"1330";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4172183600000494";"51.225193456000056"
"SINT-JANSPLEIN";"48";"2060";"05";"vroeger 1834";"2012-04-18T00:00:00";"9169";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4171680930000434";"51.224997018000067"
"SINT-JANSPLEIN";"49";"2060";"05";"vroeger 1871";"2012-04-18T00:00:00";"9250";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4171483140000305";"51.225041608000026"
"SINT-JANSPLEIN";"plein";"2060";"05";" ";"2009-12-04T00:00:00";"1358";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4173753330000523";"51.224938029000043"
"SINT-JANSPLEIN";"45";"2060";"05";"vroeger 1838";"2010-08-10T00:00:00";"9196";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4172230270000341";"51.224858133000055"
"SINT-JANSPLEIN";"";"2060";"05";"vroeger 1424";"2009-12-04T00:00:00";"1433";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4174932470000385";"51.224768980000078"
"SINT-JANSPLEIN";"";"2060";"05";" ";"2009-12-04T00:00:00";"1419";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4178812420000213";"51.224796320000053"
"ITALIELEI";"133";"2000";"05";"vroeger 2011";"2012-04-24T00:00:00";"9388";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.415634839000063";"51.22487976900004"
"ITALIELEI";"83";"2000";"05";"vroeger 2048";"2012-04-24T00:00:00";"9320";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4148873780000599";"51.226709306000032"
"VAN DE WERVESTRAAT";"8";"2060";"05";" ";"2009-12-04T00:00:00";"1316";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4153723710000463";"51.229271274000041"
"KEMPISCHDOK-WESTKAAI";"";"2000";"05";" ";"2010-05-19T00:00:00";"1631";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4129997170000479";"51.233216457000026"
"ORTELIUSKAAI";"2";"2000";"05";" ";"2012-04-24T00:00:00";"9462";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3998752120000404";"51.22570756600004"
"OUDESTEENWEG";"81";"2060";"05";"vroeger 1272";"2009-12-04T00:00:00";"1348";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4211499700000445";"51.22675952600008"
"TRAPSTRAAT";"10";"2060";"05";" ";"2009-12-04T00:00:00";"1432";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4221268330000498";"51.227297383000064"
"TRAPSTRAAT";"14";"2060";"05";" ";"2009-12-04T00:00:00";"1346";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.422202005000031";"51.227360222000073"
"DAMBRUGGESTRAAT";"193";"2060";"05";"vroeger 1971";"2012-04-17T00:00:00";"9152";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4218426710000358";"51.225108907000049"
"OFFERANDESTRAAT";"112";"2060";"05";" ";"2009-12-04T00:00:00";"1019";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4273985660000221";"51.221333272000038"
"OFFERANDESTRAAT";"92";"2060";"05";" ";"2009-12-04T00:00:00";"1161";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4268722720000255";"51.221049837000066"
"OFFERANDESTRAAT";"88";"2060";"05";" ";"2009-12-04T00:00:00";"1211";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4267058220000308";"51.220937592000041"
"OFFERANDESTRAAT";"82";"2060";"05";" ";"2009-12-04T00:00:00";"1195";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4263551750000261";"51.220745236000027"
"OFFERANDESTRAAT";"49";"2060";"05";" ";"2009-12-04T00:00:00";"1194";"nieuw bijplaatsen";"nvt";"neen";"fase II";"";"midden";"stadsreiniging";"4.4259671400000684";"51.22066290600003"
"OFFERANDESTRAAT";"66";"2060";"05";" ";"2009-12-04T00:00:00";"1137";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4258355230000461";"51.220486160000064"
"OFFERANDESTRAAT";"60";"2060";"05";" ";"2009-12-04T00:00:00";"1150";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4254536190000522";"51.220301663000043"
"OFFERANDESTRAAT";"33";"2060";"05";" ";"2010-02-09T00:00:00";"1179";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4252346430000671";"51.220325347000028"
"OFFERANDESTRAAT";"36";"2060";"05";" ";"2009-12-04T00:00:00";"1217";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4249152170000343";"51.220058313000038"
"OFFERANDESTRAAT";"19";"2060";"05";" ";"2009-12-04T00:00:00";"1136";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4243706820000739";"51.219921054000054"
"OFFERANDESTRAAT";"16";"2060";"05";" ";"2009-12-04T00:00:00";"1180";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4241890160000708";"51.219740393000052"
"OFFERANDESTRAAT";"3";"2060";"05";" ";"2009-12-04T00:00:00";"1227";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4237070910000398";"51.219626669000036"
"DAMBRUGGESTRAAT";"17";"2060";"05";" ";"2009-12-16T00:00:00";"1159";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4234313480000651";"51.219253520000052"
"DAMBRUGGESTRAAT";"18";"2060";"05";" ";"2009-12-16T00:00:00";"0920";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4236126880000484";"51.219166993000044"
"DAMBRUGGESTRAAT";"1";"2060";"05";" ";"2010-02-09T00:00:00";"1302";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4234746690000293";"51.218856643000038"
"DE CONINCKPLEIN";"27";"2060";"05";"vroeger 1525";"2010-08-10T00:00:00";"9348";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.421100195000065";"51.221568952000041"
"DE CONINCKPLEIN";"";"2060";"05";" ";"2009-08-25T00:00:00";"0323";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4205247230000282";"51.221734247000029"
"DE CONINCKPLEIN";"";"2060";"05";" ";"2009-08-25T00:00:00";"0591";"nieuw bijplaatsen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4207764930000621";"51.221404071000052"
"FRANKLIN ROOSEVELTPLAATS";"";"2060";"05";" ";"2010-05-31T00:00:00";"1671";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4183746020000285";"51.219522194000035"
"FRANKLIN ROOSEVELTPLAATS";"11";"2060";"05";"vroeger 1898";"2012-04-19T00:00:00";"9139";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4179350340000383";"51.219861821000052"
"FRANKLIN ROOSEVELTPLAATS";"11";"2060";"05";"vroeger 1804";"2010-07-26T00:00:00";"9210";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4179443680000645";"51.219770621000066"
"FRANKLIN ROOSEVELTPLAATS";"11";"2060";"05";"vroeger 1881";"2012-04-19T00:00:00";"9218";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4181580470000199";"51.219745676000059"
"FRANKLIN ROOSEVELTPLAATS";"11";"2060";"05";"vroeger 1910";"2012-04-19T00:00:00";"9215";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4179243100000463";"51.219726298000069"
"FRANKLIN ROOSEVELTPLAATS";"11";"2060";"05";"vroeger 1769";"2012-04-18T00:00:00";"9052";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4181307510000352";"51.219691173000058"
"VAN STRALENSTRAAT";"38";"2060";"C";" ";"";"";"verwijderen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.419015479000052";"51.220587555000066"
"MAC LEODPLEIN";"5";"2050";"05";" ";"2009-10-05T00:00:00";"0870";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.3798483860000488";"51.222852916000079"
"LODE ZIELENSLAAN";"";"2050";"05";" ";"2012-03-27T00:00:00";"9069";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3787749290000306";"51.221849317000078"
"LODE ZIELENSLAAN";"";"2050";"05";" ";"2012-03-27T00:00:00";"9043";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3787977240000373";"51.221704134000049"
"BLANCEFLOERLAAN";"40";"2050";"05";" ";"2012-03-23T00:00:00";"9079";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3798217830000681";"51.220501096000078"
"BLANCEFLOERLAAN";"40";"2050";"05";" ";"2012-03-23T00:00:00";"9188";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3793893370000205";"51.22049153200004"
"BLANCEFLOERLAAN";"42";"2050";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.3793415060000598";"51.220507159000078"
"BLANCEFLOERLAAN";"42";"2050";"05";" ";"2012-03-23T00:00:00";"9158";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3792132740000511";"51.220393010000066"
"BLANCEFLOERLAAN";"69";"2050";"05";" ";"2012-03-23T00:00:00";"9126";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3792629950000332";"51.220266835000075"
"BLANCEFLOERLAAN";"69";"2050";"05";" ";"2012-03-23T00:00:00";"9075";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3794294710000372";"51.220269227000074"
"BLANCEFLOERLAAN";"69";"2050";"05";" ";"2012-03-23T00:00:00";"9199";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3796374430000355";"51.220279111000082"
"BLANCEFLOERLAAN";"69";"2050";"05";" ";"2012-03-23T00:00:00";"9137";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3794150020000302";"51.220220619000031"
"BLANCEFLOERLAAN";"167";"2050";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.3746107570000277";"51.220504645000062"
"BLANCEFLOERLAAN";"terminus";"2050";"05";" ";"2012-03-22T00:00:00";"9166";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3627775860000497";"51.220174946000043"
"BLANCEFLOERLAAN";"terminus";"2050";"05";" ";"2012-03-22T00:00:00";"9165";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3625624740000717";"51.220185571000059"
"BLANCEFLOERLAAN";"terminus";"2050";"05";" ";"2012-03-22T00:00:00";"9147";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3627941850000411";"51.22021987100004"
"GLORIANTLAAN";"60";"2050";"05";" ";"2012-03-27T00:00:00";"9206";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3860725150000235";"51.225695109000071"
"GLORIANTLAAN";"to 60";"2050";"05";" ";"2012-03-27T00:00:00";"9290";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3864912110000205";"51.225773017000051"
"FREDERIK VAN EEDENPLEIN";"4";"2050";"05";" ";"2012-03-27T00:00:00";"9266";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3859642280000344";"51.223107541000047"
"FREDERIK VAN EEDENPLEIN";"5";"2050";"05";" ";"2012-03-27T00:00:00";"9020";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3864340650000599";"51.223201494000079"
"FREDERIK VAN EEDENPLEIN";"14";"2050";"05";" ";"2009-10-05T00:00:00";"0849";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.3858026850000442";"51.221553455000048"
"FREDERIK VAN EEDENPLEIN";"17";"2050";"05";" ";"2009-10-05T00:00:00";"0764";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.3857973880000714";"51.221004076000042"
"FREDERIK VAN EEDENPLEIN";"to 15";"2050";"05";" ";"2012-03-27T00:00:00";"9254";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3862234030000309";"51.221200316000079"
"FREDERIK VAN EEDENPLEIN";"15";"2050";"05";" ";"2009-10-05T00:00:00";"0850";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.3864366200000404";"51.221212713000057"
"FREDERIK VAN EEDENPLEIN";"8";"2050";"05";"prioriteit";"2009-06-10T00:00:00";"0053";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3864387580000539";"51.222211332000029"
"FREDERIK VAN EEDENPLEIN";"6";"2050";"05";"prioriteit";"2009-06-10T00:00:00";"0047";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3864241270000548";"51.222590609000065"
"FREDERIK VAN EEDENPLEIN";"1c";"2050";"05";"prioriteit";"2009-06-10T00:00:00";"0045";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3864620400000263";"51.223319678000053"
"GLORIANTLAAN";"46";"2050";"05";" ";"2012-03-27T00:00:00";"9011";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3866522550000582";"51.228355639000029"
"GLORIANTLAAN";"34";"2050";"05";" ";"2012-03-27T00:00:00";"9243";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3867391210000619";"51.230431452000062"
"GLORIANTLAAN";"11";"2050";"05";" ";"2012-03-27T00:00:00";"9280";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3868262350000577";"51.233084442000063"
"AUGUST VERMEYLENLAAN";"6";"2050";"05";" ";"2012-03-22T00:00:00";"9342";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.377237310000055";"51.23246305300006"
"AUGUST VERMEYLENLAAN";"20";"2050";"05";" ";"2012-03-22T00:00:00";"9334";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3771043060000352";"51.228579884000055"
"BLANCEFLOERLAAN";"1";"2050";"05";" ";"2009-08-28T00:00:00";"0587";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3859106600000359";"51.22019883300004"
"THONETLAAN";"1";"2050";"05";" ";"2009-10-05T00:00:00";"0763";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.3879170260000251";"51.22075579300008"
"THONETLAAN";"1";"2050";"05";" ";"2009-10-05T00:00:00";"0861";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.3879878760000679";"51.220850635000033"
"FREDERIK VAN EEDENPLEIN";"";"2050";"05";"prioriteit";"2009-06-10T00:00:00";"0048";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3873699240000406";"51.221814135000045"
"FREDERIK VAN EEDENPLEIN";"bushaltes FVE";"2050";"05";" ";"2012-03-26T00:00:00";"9127";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.3869937430000618";"51.220876573000055"
"GULDENVLIESSTRAAT";"";"2600";"05";" ";"2012-03-30T00:00:00";"9618";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4343496020000543";"51.201444997000067"
"CARNOTSTRAAT";"165";"2060";"05";" ";"2010-08-11T00:00:00";"1659";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4284956060000695";"51.217473323000036"
"CARNOTSTRAAT";"148";"2060";"05";" ";"2010-08-11T00:00:00";"1956";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4285949670000377";"51.217357897000056"
"CARNOTSTRAAT";"150";"2060";"05";" ";"2010-08-11T00:00:00";"2070";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4288168640000549";"51.217292885000063"
"TURNHOUTSEBAAN";"6";"2140";"05";" ";"2009-09-11T00:00:00";"0698";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4291935960000615";"51.217102800000077"
"TURNHOUTSEBAAN";"11";"2140";"05";" ";"2009-09-11T00:00:00";"0744";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4295036030000574";"51.217107447000046"
"TURNHOUTSEBAAN";"34";"2140";"05";" ";"2009-09-11T00:00:00";"0667";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.429939245000071";"51.216612072000032"
"TURNHOUTSEBAAN";"43";"2140";"05";" ";"2009-09-11T00:00:00";"0753";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4302415740000356";"51.21659268600007"
"TURNHOUTSEBAAN";"60";"2140";"05";" ";"2009-09-11T00:00:00";"0539";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4307441270000254";"51.216056403000039"
"TURNHOUTSEBAAN";"69";"2140";"05";" ";"2009-09-11T00:00:00";"0754";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4311842360000355";"51.216050162000045"
"TURNHOUTSEBAAN";"98";"2140";"05";" ";"2009-09-11T00:00:00";"0659";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4323334880000402";"51.215463052000075"
"TURNHOUTSEBAAN";"tov 93";"2140";"05";" ";"2009-09-11T00:00:00";"0867";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4323356280000326";"51.215622892000056"
"TURNHOUTSEBAAN";"136";"2140";"05";" ";"2009-09-11T00:00:00";"0439";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.433905778000053";"51.215000687000042"
"TURNHOUTSEBAAN";"131";"2140";"05";" ";"2009-09-11T00:00:00";"0720";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4338199210000653";"51.21517980200008"
"TURNHOUTSEBAAN";"152";"2140";"05";"vroeger 2065";"2010-08-28T00:00:00";"9577";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4348297250000428";"51.214800666000031"
"TURNHOUTSEBAAN";"147";"2140";"05";"vroeger 2069";"2010-09-01T00:00:00";"9460";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4346251590000634";"51.214930575000039"
"TURNHOUTSEBAAN";"168";"2140";"05";" ";"2009-09-11T00:00:00";"0688";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4354628520000574";"51.214626036000027"
"TURNHOUTSEBAAN";"192";"2140";"05";" ";"2009-09-11T00:00:00";"0654";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.436562805000051";"51.214410278000059"
"TURNHOUTSEBAAN";"217";"2140";"05";" ";"2009-09-11T00:00:00";"0369";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4374602130000653";"51.214383306000059"
"TURNHOUTSEBAAN";"239";"2140";"05";" ";"2009-09-11T00:00:00";"0700";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.438309547000074";"51.214214546000051"
"TURNHOUTSEBAAN";"246";"2140";"05";" ";"2009-10-29T00:00:00";"0663";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4387321010000278";"51.213999172000058"
"TURNHOUTSEBAAN";"274";"2140";"05";" ";"2009-09-11T00:00:00";"0741";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4396714080000379";"51.213855587000069"
"TURNHOUTSEBAAN";"299";"2140";"05";" ";"2009-09-11T00:00:00";"0451";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4402436470000453";"51.213915324000027"
"TURNHOUTSEBAAN";"298";"2140";"05";" ";"2009-09-11T00:00:00";"0719";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4407351210000456";"51.213733544000036"
"TURNHOUTSEBAAN";"308";"2140";"05";" ";"2009-09-11T00:00:00";"0677";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4410413470000663";"51.213776624000047"
"TURNHOUTSEBAAN";"320";"2140";"05";"vroeger 2069";"2010-09-01T00:00:00";"9496";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.44152770900007";"51.21398302800003"
"CAREL VAN MANDERSTRAAT";"2";"2050";"C";" ";"";"";"verwijderen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.3832272430000216";"51.224307186000033"
"GLORIANTLAAN";"";"2050";"05";"vroeger 0055";"2009-05-27T00:00:00";"9311";"geen opdracht";"CC";"ja";"fase I";"B";"midden";"stadsreiniging";"4.3868969810000635";"51.234987669000077"
"THONETLAAN";"2";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0058";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.387214054000026";"51.234875892000048"
"KASTANJEDREEF";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0041";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3887083620000453";"51.235273799000026"
"KASTANJEDREEF";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0056";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.389050247000057";"51.235257576000038"
"KASTANJEDREEF";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0066";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3894002880000471";"51.235200211000063"
"KASTANJEDREEF";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0059";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3895578450000698";"51.235149918000047"
"KASTANJEDREEF";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0016";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3898617020000756";"51.235106690000066"
"KASTANJEDREEF";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0024";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3905955500000573";"51.234954763000076"
"KASTANJEDREEF";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0035";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3909036370000649";"51.235011904000032"
"KASTANJEDREEF";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0017";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3910652240000445";"51.234838289000038"
"KASTANJEDREEF";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0023";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3917754960000366";"51.234603163000031"
"KASTANJEDREEF";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0060";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3924825850000389";"51.234398737000049"
"KASTANJEDREEF";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0043";"vervangen";"nvt";"neen";"fase I";"B";"midden";"stadsreiniging";"4.3921919430000571";"51.234483235000027"
"JACHTHAVENWEG";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0025";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3944792300000586";"51.234753868000041"
"JACHTHAVENWEG";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0044";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3948931240000206";"51.234660914000074"
"JACHTHAVENWEG";" ";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0061";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3945414600000277";"51.234739311000055"
"WANDELDIJK";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0018";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3934171120000656";"51.23498747900004"
"WANDELDIJK";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0054";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3927707360000454";"51.235212544000035"
"WANDELDIJK";"";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0003";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3923870820000275";"51.235217128000045"
"WANDELDIJK";"32";"2050";"05";"prioriteit";"2009-05-27T00:00:00";"0036";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.3918117320000647";"51.23547794600006"
