"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"PUTSEBAAN";"10";"2040";"05";" ";"2012-03-12T00:00:00";"9228";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3156358810000484";"51.35926039900005"
"DE KEYSERHOEVE";"18";"2040";"05";" ";"2012-03-12T00:00:00";"9065";"geen opdracht";"CC";"ja";"";"";"noord";"stadsreiniging";"4.3085285010000689";"51.359806410000033"
"ZOUTESTRAAT";"162";"2040";"C";" ";"";"";"geen opdracht";"DC";"ja";"";"";"noord";"stadsreiniging";"4.3064672870000322";"51.355910123000058"
"ZANDVLIETSE DORPSTRAAT";"15";"2040";"04";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.3032127760000662";"51.355601629000034"
"ZOUTESTRAAT";" ";"2040";"05";" ";"2009-07-09T00:00:00";"0082";"vervangen";"nvt";"neen";"fase I";"04";"noord";"stadsreiniging";"4.3059620720000567";"51.347346472000027"
"ZOUTESTRAAT";"30";"2040";"05";" ";"2009-07-09T00:00:00";"0166";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3053673860000572";"51.343381932000057"
"SINT-JAN BAPTISTSTRAAT";"72";"2040";"05";" ";"2009-07-09T00:00:00";"0090";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3068945550000421";"51.339884583000071"
"SINT-JAN BAPTISTSTRAAT";"26";"2040";"05";" ";"2009-07-09T00:00:00";"0195";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.3109262050000439";"51.34030036200005"
"REIGERSBOS";" ";"2040";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.3137273550000259";"51.33702889500006"
"REIGERSBOS";" ";"2040";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"noord";"stadsreiniging";"4.3135977170000501";"51.339898523000045"
"VESTINGSTRAAT";" ";"2040";"05";"prioriteit";"2009-06-23T00:00:00";"0171";"vervangen";"nvt";"neen";"fase I";"C";"noord";"stadsreiniging";"4.2882697940000298";"51.304188194000062"
