"title";"description";"address";"gisx";"gisy";"image";"link"
"Zwembad Sorghvliedt - Hoboken";"Troeven: 25-meterzwembad, instructiebad met massagejets, peuter- en kleuterbad met fonteinen, whirlpools en grote glijbaan";"Krijgsbaan 20, 2660 Hoboken";"4.3537363";"51.1673186";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3046"
"Sportcentrum De Rode Loop - Merksem";"U kunt in de sporthal terecht voor basketbal, handbal, korfbal, tennis, volleybal en zaalvoetbal. Daarnaast zijn er ook nog twee gevechtszalen waar je onder andere judo, karate en jiu jitsu kan beoefenen.";"Rodeloopstraat 2, 2170 Merksem";"4.4396663";"51.2511936";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_rodeloop_02.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3059"
"Gymhal Terlinden - Merksem";"U kunt hier turnen in zowel een grote als een kleine turnzaal.";"Terlindenhofstraat 150, 2170 Merksem";"4.4429562";"51.2462741";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_terlinden_03.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3070"
"Sportcentrum De Rode Loop (Merksem)";"U kunt hier terecht voor een atletiekpiste en een mini-voetbalterrein (gras).";"Rodeloopstraat 2, 2170 Merksem";"4.4396663";"51.2511936";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3072"
"Sportpark Bouckenborgh (Merksem)";"U kunt hier terecht voor twee voetbalterreinen.";"Deurnesebaan, 2170 Merksem";"4.4496980";"51.2439115";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3092"
"Sportcentrum Fort van Merksem";"U kunt hier terecht voor een voetbalterrein, recreatief basket, finse piste en volleybal. Daarnaast is er ook nog een grote en een kleine polyvalente zaal.";"Fortsteenweg, 2170 Merksem";"4.4590458";"51.2608892";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3098"
"Zwembad Park van Merksem - Merksem";"Troeven: 25-meterzwembad, instructiebad (15 op 7 meter), peuterbad met speeltuigen (7 op 4 meter)";"Van Heybeeckstraat 9, 2170 Merksem";"4.4501122";"51.2476530";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/2012_nieuwe_openingsuren_zwembaden.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3111"
"Sporthal De Bist - Wilrijk";"U kunt in deze sporthal terecht voor badminton, basket, handbal, korfbal, volleybal en zaalvoetbal.";"Koningin Elisabethstraat 7-9, 2610 Wilrijk";"4.3918200";"51.1704831";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_debist_01.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3119"
"Sportpark Fort VI (Wilrijk)";"U kunt hier terecht voor een atletiekpiste, drie voetbalvelden en Ã©Ã©n kunstgrasveld.";"Universiteitsplein, 2610 Wilrijk";"4.3999001";"51.1637217";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3123"
"Sportpark Ter Beke (Wilrijk)";"U kunt hier terecht voor vier voetbalvelden.";"Moerelei 2610 Wilrijk";"4.3679118";"51.1607758";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3130"
"Zwembad Ieperman - Wilrijk";"Troeven: 25-meterzwembad, instructiebad (8 op 15 meter), geschikt voor families, scholen en clubs";"Doornstraat 3b, 2610 Wilrijk";"4.3946473";"51.1683736";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/2012_nieuwe_openingsuren_zwembaden.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=3138"
"Wielercentrum Antwerpen - Wilrijk";"Eigenschappen: wielerpiste met een diepte van 1,40 meter en maximum hoogte van 2,44 meter, skeelerpiste en bmx-parcours";"Moerelei 117, 2610 Wilrijk";"4.3752689";"51.1625120";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_wielerpiste_01.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=36689"
"Sportcentrum Stuivenberg (Hoboken)";"U kunt hier terecht voor het gebruik van een voetbalveld.";"Albert Einsteinlaan, 2660 Hoboken";"4.3704398";"51.1717981";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=37904"
"Sportcentrum De Polder - BZL";"U kunt in de sporthal terecht voor badminton, baseball, basketbal, handbal, korfbal, tennis, turnen, volleybal en zaalvoetbal.";"Zandweg 2, 2040 Berendrecht";"4.3165822";"51.3504332";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/jc_as_depolder_02.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8103062"
"Sporthal Linkeroever - Antwerpen";"U kunt in deze sporthal terecht voor badminton, basketbal, handbal, korfbal, volleybal en zaalvoetbal.";"Blancefloerlaan 183, 2050 Antwerpen";"4.3673209";"51.2202066";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/Linkeroever-7239.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=1866"
"Buurtsporthal All-Inn - Antwerpen";"U kunt in deze buurtsporthal terecht voor badminton, basketbal, volleybal en zaalvoetbal.";"Slachthuislaan 44, 2060 Antwerpen";"4.4344250";"51.2313741";"http://www.antwerpen.be/pics/Stad/Bedrijven/Cultuur_sport_recreatie/CS_Sport/Infrastructuur/All-Inn-7383.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2786"
"Sportpark Koningin Astrid (Antwerpen)";"U kunt hier terecht voor een atletiekpiste, drie basketbalvelden, vier officiÃ«le voetbalvelden, Ã©Ã©n recreatievoetbalveld, twee polyvalente verharde handbal- en voetbalvelden en drie volleybalvelden.";"Middelheimlaan 50-52, 2020";"4.4160650";"51.1835423";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2789"
"Sportpark Willem Eekelers (Antwerpen)";"U kunt hier terecht voor een voetbalterrein, drie korfbalvelden en een atletiekpiste.";"Sint-Bernardsesteenweg 101, 2020 Antwerpen";"4.3836284";"51.1890846";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2791"
"Openluchtzwembad De Molen - Antwerpen";"Troeven: 50-meterbad, plonsbad, ligweide";"Wandeldijk 40, 2050 Antwerpen";"4.3906449";"51.2355114";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=2796"
